Pos: 5 | DupCnt: 1029 -> 94 | Time: 79.592s
Pos: 4 | DupCnt: 1054 -> 90 | Time: 79.628s
Pos: 6 | DupCnt: 1039 -> 89 | Time: 79.901s
Pos: 2 | DupCnt: 862 -> 88 | Time: 79.920s
Pos: 3 | DupCnt: 988 -> 90 | Time: 79.977s
Pos: 7 | DupCnt: 981 -> 98 | Time: 81.494s
Pos: 8 | DupCnt: 1010 -> 97 | Time: 81.543s
Pos: 11 | DupCnt: 994 -> 106 | Time: 81.646s
Pos: 14 | DupCnt: 1075 -> 94 | Time: 84.442s
Pos: 1 | DupCnt: 969 -> 87 | Time: 84.761s
Pos: 16 | DupCnt: 786 -> 100 | Time: 84.850s
Pos: 13 | DupCnt: 989 -> 92 | Time: 84.848s
Pos: 12 | DupCnt: 847 -> 100 | Time: 84.958s
Pos: 9 | DupCnt: 1037 -> 91 | Time: 85.073s
Pos: 18 | DupCnt: 1221 -> 98 | Time: 85.251s
Pos: 17 | DupCnt: 769 -> 98 | Time: 85.658s
Pos: 10 | DupCnt: 843 -> 92 | Time: 86.163s
Pos: 15 | DupCnt: 982 -> 99 | Time: 86.188s
Pos: 20 | DupCnt: 987 -> 89 | Time: 80.794s
Pos: 19 | DupCnt: 1026 -> 92 | Time: 80.877s
Pos: 21 | DupCnt: 1007 -> 103 | Time: 80.715s
Pos: 22 | DupCnt: 829 -> 94 | Time: 81.049s
Pos: 23 | DupCnt: 992 -> 98 | Time: 81.229s
Pos: 24 | DupCnt: 984 -> 95 | Time: 81.968s
Pos: 25 | DupCnt: 942 -> 93 | Time: 82.051s
Pos: 26 | DupCnt: 1051 -> 99 | Time: 83.440s
Pos: 27 | DupCnt: 1037 -> 89 | Time: 90.161s
Pos: 31 | DupCnt: 949 -> 90 | Time: 90.052s
Pos: 29 | DupCnt: 936 -> 85 | Time: 90.182s
Pos: 30 | DupCnt: 1121 -> 92 | Time: 90.302s
Pos: 32 | DupCnt: 1089 -> 96 | Time: 90.104s
Pos: 33 | DupCnt: 1041 -> 82 | Time: 89.998s
Pos: 28 | DupCnt: 1031 -> 97 | Time: 90.707s
Pos: 34 | DupCnt: 891 -> 99 | Time: 90.547s
Pos: 35 | DupCnt: 957 -> 95 | Time: 90.715s
Pos: 36 | DupCnt: 940 -> 100 | Time: 90.711s
Pos: 38 | DupCnt: 887 -> 98 | Time: 86.979s
