Pos: 6 | DupCnt: 829 -> 98 | Time: 89.038s
Pos: 10 | DupCnt: 998 -> 95 | Time: 89.163s
Pos: 4 | DupCnt: 992 -> 92 | Time: 89.206s
Pos: 1 | DupCnt: 971 -> 91 | Time: 89.379s
Pos: 7 | DupCnt: 908 -> 96 | Time: 90.640s
Pos: 2 | DupCnt: 857 -> 93 | Time: 90.766s
Pos: 12 | DupCnt: 1059 -> 88 | Time: 90.785s
Pos: 11 | DupCnt: 1011 -> 94 | Time: 90.791s
Pos: 3 | DupCnt: 936 -> 97 | Time: 90.825s
Pos: 16 | DupCnt: 1043 -> 87 | Time: 90.995s
Pos: 18 | DupCnt: 1112 -> 101 | Time: 91.313s
Pos: 5 | DupCnt: 1230 -> 95 | Time: 91.339s
Pos: 15 | DupCnt: 983 -> 94 | Time: 91.445s
Pos: 13 | DupCnt: 1056 -> 93 | Time: 91.954s
Pos: 17 | DupCnt: 1088 -> 96 | Time: 92.846s
Pos: 14 | DupCnt: 948 -> 97 | Time: 96.720s
Pos: 8 | DupCnt: 911 -> 93 | Time: 97.894s
Pos: 9 | DupCnt: 951 -> 94 | Time: 98.372s
Pos: 19 | DupCnt: 876 -> 93 | Time: 85.888s
Pos: 20 | DupCnt: 988 -> 98 | Time: 85.889s
Pos: 21 | DupCnt: 1046 -> 94 | Time: 86.091s
Pos: 22 | DupCnt: 1032 -> 105 | Time: 86.180s
Pos: 24 | DupCnt: 985 -> 99 | Time: 93.319s
Pos: 25 | DupCnt: 883 -> 95 | Time: 93.356s
Pos: 23 | DupCnt: 928 -> 103 | Time: 93.837s
Pos: 26 | DupCnt: 1194 -> 92 | Time: 93.841s
Pos: 29 | DupCnt: 845 -> 93 | Time: 93.645s
Pos: 31 | DupCnt: 971 -> 99 | Time: 94.062s
Pos: 27 | DupCnt: 1085 -> 95 | Time: 94.859s
Pos: 32 | DupCnt: 849 -> 96 | Time: 94.168s
Pos: 30 | DupCnt: 1009 -> 93 | Time: 95.138s
Pos: 28 | DupCnt: 968 -> 93 | Time: 95.820s
Pos: 33 | DupCnt: 1010 -> 91 | Time: 98.198s
Pos: 34 | DupCnt: 1026 -> 100 | Time: 109.526s
Pos: 35 | DupCnt: 879 -> 96 | Time: 109.776s
Pos: 36 | DupCnt: 1045 -> 102 | Time: 112.245s
Pos: 37 | DupCnt: 1017 -> 89 | Time: 105.828s
Pos: 38 | DupCnt: 960 -> 97 | Time: 106.213s
Pos: 39 | DupCnt: 830 -> 95 | Time: 105.945s
Pos: 40 | DupCnt: 1089 -> 99 | Time: 105.718s
Pos: 41 | DupCnt: 1073 -> 86 | Time: 117.243s
Pos: 42 | DupCnt: 930 -> 89 | Time: 117.400s
Pos: 43 | DupCnt: 1031 -> 94 | Time: 117.937s
Pos: 44 | DupCnt: 937 -> 97 | Time: 117.885s
Pos: 45 | DupCnt: 1110 -> 97 | Time: 117.762s
Pos: 46 | DupCnt: 994 -> 103 | Time: 117.406s
Pos: 49 | DupCnt: 1227 -> 92 | Time: 117.672s
Pos: 47 | DupCnt: 989 -> 98 | Time: 118.483s
Pos: 48 | DupCnt: 1134 -> 96 | Time: 118.248s
Pos: 50 | DupCnt: 1012 -> 88 | Time: 117.778s
Pos: 51 | DupCnt: 1026 -> 90 | Time: 117.912s
Pos: 52 | DupCnt: 806 -> 89 | Time: 116.880s
Pos: 54 | DupCnt: 898 -> 94 | Time: 114.459s
Pos: 53 | DupCnt: 967 -> 87 | Time: 118.320s
Pos: 55 | DupCnt: 935 -> 97 | Time: 97.480s
Pos: 56 | DupCnt: 1013 -> 95 | Time: 97.100s
Pos: 57 | DupCnt: 957 -> 96 | Time: 97.281s
Pos: 58 | DupCnt: 1064 -> 89 | Time: 97.367s
Pos: 59 | DupCnt: 1216 -> 98 | Time: 105.275s
Pos: 60 | DupCnt: 959 -> 97 | Time: 105.964s
Pos: 63 | DupCnt: 978 -> 95 | Time: 106.451s
Pos: 62 | DupCnt: 1177 -> 94 | Time: 107.136s
Pos: 61 | DupCnt: 959 -> 100 | Time: 107.387s
Pos: 64 | DupCnt: 906 -> 89 | Time: 109.659s
Pos: 66 | DupCnt: 952 -> 95 | Time: 108.556s
Pos: 65 | DupCnt: 826 -> 96 | Time: 108.612s
Pos: 68 | DupCnt: 974 -> 96 | Time: 108.419s
Pos: 67 | DupCnt: 1027 -> 85 | Time: 109.132s
Pos: 69 | DupCnt: 794 -> 100 | Time: 110.917s
Pos: 70 | DupCnt: 928 -> 88 | Time: 103.400s
Pos: 71 | DupCnt: 905 -> 89 | Time: 105.048s
Pos: 72 | DupCnt: 899 -> 87 | Time: 107.895s
Pos: 73 | DupCnt: 917 -> 93 | Time: 112.801s
Pos: 74 | DupCnt: 1071 -> 97 | Time: 112.758s
Pos: 76 | DupCnt: 942 -> 92 | Time: 112.832s
Pos: 75 | DupCnt: 965 -> 96 | Time: 113.041s
Pos: 77 | DupCnt: 851 -> 94 | Time: 138.219s
Pos: 78 | DupCnt: 1059 -> 95 | Time: 137.949s
Pos: 80 | DupCnt: 1025 -> 92 | Time: 138.082s
Pos: 82 | DupCnt: 988 -> 98 | Time: 135.158s
Pos: 79 | DupCnt: 1108 -> 90 | Time: 140.295s
Pos: 81 | DupCnt: 951 -> 90 | Time: 140.141s
Pos: 83 | DupCnt: 944 -> 92 | Time: 139.096s
Pos: 85 | DupCnt: 992 -> 89 | Time: 139.178s
Pos: 86 | DupCnt: 1219 -> 100 | Time: 139.414s
Pos: 84 | DupCnt: 995 -> 88 | Time: 140.698s
Pos: 88 | DupCnt: 856 -> 98 | Time: 131.917s
Pos: 87 | DupCnt: 1078 -> 99 | Time: 141.028s
Pos: 89 | DupCnt: 986 -> 96 | Time: 133.633s
Pos: 90 | DupCnt: 875 -> 95 | Time: 137.707s
Pos: 91 | DupCnt: 827 -> 99 | Time: 93.665s
Pos: 94 | DupCnt: 1030 -> 85 | Time: 93.210s
Pos: 93 | DupCnt: 957 -> 94 | Time: 93.324s
Pos: 92 | DupCnt: 928 -> 94 | Time: 94.464s
Pos: 111 | DupCnt: 923 -> 103 | Time: 90.943s
Pos: 109 | DupCnt: 855 -> 92 | Time: 91.373s
Pos: 112 | DupCnt: 852 -> 98 | Time: 90.575s
Pos: 110 | DupCnt: 1009 -> 97 | Time: 91.395s
Pos: 96 | DupCnt: 1005 -> 101 | Time: 140.824s
Pos: 95 | DupCnt: 982 -> 97 | Time: 141.524s
Pos: 98 | DupCnt: 930 -> 92 | Time: 138.574s
Pos: 97 | DupCnt: 1026 -> 94 | Time: 140.415s
Pos: 105 | DupCnt: 1071 -> 87 | Time: 129.851s
Pos: 100 | DupCnt: 968 -> 96 | Time: 138.934s
Pos: 99 | DupCnt: 891 -> 87 | Time: 140.142s
Pos: 101 | DupCnt: 963 -> 93 | Time: 139.547s
Pos: 102 | DupCnt: 959 -> 91 | Time: 139.530s
Pos: 103 | DupCnt: 1052 -> 93 | Time: 139.103s
Pos: 104 | DupCnt: 1025 -> 95 | Time: 139.208s
Pos: 107 | DupCnt: 949 -> 91 | Time: 129.111s
Pos: 106 | DupCnt: 879 -> 93 | Time: 140.287s
Pos: 108 | DupCnt: 892 -> 103 | Time: 132.646s
Pos: 113 | DupCnt: 1168 -> 95 | Time: 91.512s
Pos: 116 | DupCnt: 890 -> 92 | Time: 91.246s
Pos: 115 | DupCnt: 898 -> 100 | Time: 91.455s
Pos: 114 | DupCnt: 1002 -> 89 | Time: 91.737s
Pos: 117 | DupCnt: 942 -> 101 | Time: 132.582s
Pos: 119 | DupCnt: 985 -> 95 | Time: 136.194s
Pos: 128 | DupCnt: 878 -> 92 | Time: 129.885s
Pos: 120 | DupCnt: 1042 -> 97 | Time: 135.273s
Pos: 123 | DupCnt: 1023 -> 96 | Time: 135.446s
Pos: 121 | DupCnt: 993 -> 90 | Time: 137.064s
Pos: 118 | DupCnt: 907 -> 88 | Time: 139.382s
Pos: 122 | DupCnt: 1159 -> 88 | Time: 137.101s
Pos: 124 | DupCnt: 993 -> 98 | Time: 139.001s
Pos: 127 | DupCnt: 858 -> 102 | Time: 137.964s
Pos: 126 | DupCnt: 988 -> 97 | Time: 138.851s
Pos: 125 | DupCnt: 868 -> 92 | Time: 140.264s
Pos: 130 | DupCnt: 901 -> 95 | Time: 133.936s
Pos: 129 | DupCnt: 884 -> 96 | Time: 137.110s
Pos: 131 | DupCnt: 982 -> 93 | Time: 91.956s
Pos: 133 | DupCnt: 1030 -> 92 | Time: 91.818s
