Pos: 9 | DupCnt: 993 -> 93 | Time: 92.408s
Pos: 5 | DupCnt: 1011 -> 94 | Time: 92.454s
Pos: 6 | DupCnt: 853 -> 88 | Time: 92.528s
Pos: 10 | DupCnt: 851 -> 91 | Time: 92.636s
Pos: 2 | DupCnt: 1084 -> 88 | Time: 97.686s
Pos: 14 | DupCnt: 943 -> 92 | Time: 110.381s
Pos: 16 | DupCnt: 948 -> 89 | Time: 110.869s
Pos: 18 | DupCnt: 881 -> 88 | Time: 111.370s
Pos: 8 | DupCnt: 983 -> 96 | Time: 111.435s
Pos: 13 | DupCnt: 741 -> 88 | Time: 111.680s
Pos: 11 | DupCnt: 951 -> 96 | Time: 113.087s
Pos: 15 | DupCnt: 1070 -> 94 | Time: 113.230s
Pos: 12 | DupCnt: 1047 -> 88 | Time: 113.290s
Pos: 1 | DupCnt: 1003 -> 92 | Time: 115.288s
Pos: 17 | DupCnt: 1014 -> 95 | Time: 117.643s
Pos: 7 | DupCnt: 1006 -> 89 | Time: 126.052s
Pos: 4 | DupCnt: 1182 -> 93 | Time: 126.720s
Pos: 3 | DupCnt: 914 -> 98 | Time: 129.700s
Pos: 19 | DupCnt: 1027 -> 87 | Time: 107.144s
Pos: 21 | DupCnt: 970 -> 83 | Time: 107.089s
Pos: 20 | DupCnt: 1017 -> 89 | Time: 107.296s
Pos: 22 | DupCnt: 1046 -> 96 | Time: 108.194s
Pos: 23 | DupCnt: 934 -> 96 | Time: 113.561s
Pos: 24 | DupCnt: 882 -> 88 | Time: 139.864s
Pos: 25 | DupCnt: 850 -> 95 | Time: 139.456s
Pos: 27 | DupCnt: 865 -> 81 | Time: 139.211s
Pos: 28 | DupCnt: 1010 -> 88 | Time: 139.430s
Pos: 26 | DupCnt: 1034 -> 84 | Time: 139.911s
Pos: 29 | DupCnt: 972 -> 87 | Time: 138.771s
Pos: 30 | DupCnt: 883 -> 96 | Time: 139.506s
Pos: 31 | DupCnt: 1039 -> 96 | Time: 139.682s
Pos: 32 | DupCnt: 1057 -> 96 | Time: 139.768s
Pos: 34 | DupCnt: 917 -> 99 | Time: 132.746s
Pos: 33 | DupCnt: 1049 -> 92 | Time: 141.396s
Pos: 35 | DupCnt: 1011 -> 93 | Time: 133.878s
Pos: 36 | DupCnt: 1066 -> 96 | Time: 135.766s
Pos: 38 | DupCnt: 962 -> 93 | Time: 96.863s
Pos: 39 | DupCnt: 991 -> 90 | Time: 97.041s
Pos: 37 | DupCnt: 1134 -> 94 | Time: 97.700s
Pos: 40 | DupCnt: 913 -> 87 | Time: 96.587s
Pos: 41 | DupCnt: 952 -> 87 | Time: 106.393s
Pos: 51 | DupCnt: 1018 -> 93 | Time: 126.933s
Pos: 53 | DupCnt: 919 -> 84 | Time: 129.053s
Pos: 43 | DupCnt: 795 -> 101 | Time: 142.112s
Pos: 42 | DupCnt: 908 -> 98 | Time: 142.345s
Pos: 46 | DupCnt: 1118 -> 96 | Time: 142.582s
Pos: 44 | DupCnt: 930 -> 91 | Time: 143.712s
Pos: 47 | DupCnt: 1011 -> 98 | Time: 142.948s
Pos: 45 | DupCnt: 1178 -> 97 | Time: 145.331s
Pos: 49 | DupCnt: 807 -> 91 | Time: 144.319s
Pos: 48 | DupCnt: 807 -> 89 | Time: 145.060s
Pos: 54 | DupCnt: 937 -> 92 | Time: 133.546s
Pos: 50 | DupCnt: 967 -> 98 | Time: 147.820s
Pos: 56 | DupCnt: 961 -> 92 | Time: 106.489s
Pos: 55 | DupCnt: 901 -> 93 | Time: 106.822s
Pos: 58 | DupCnt: 960 -> 87 | Time: 106.126s
Pos: 57 | DupCnt: 978 -> 93 | Time: 107.906s
Pos: 52 | DupCnt: 1020 -> 99 | Time: 149.052s
Pos: 59 | DupCnt: 1087 -> 96 | Time: 106.374s
Pos: 60 | DupCnt: 1043 -> 106 | Time: 113.196s
Pos: 74 | DupCnt: 969 -> 99 | Time: 96.078s
Pos: 73 | DupCnt: 821 -> 92 | Time: 96.468s
Pos: 72 | DupCnt: 860 -> 83 | Time: 96.672s
Pos: 75 | DupCnt: 1028 -> 95 | Time: 97.541s
Pos: 61 | DupCnt: 832 -> 98 | Time: 114.508s
Pos: 63 | DupCnt: 881 -> 99 | Time: 120.246s
Pos: 62 | DupCnt: 1093 -> 96 | Time: 120.471s
Pos: 64 | DupCnt: 928 -> 94 | Time: 120.285s
Pos: 66 | DupCnt: 1050 -> 93 | Time: 120.457s
Pos: 65 | DupCnt: 887 -> 95 | Time: 121.063s
Pos: 70 | DupCnt: 1011 -> 99 | Time: 116.925s
Pos: 67 | DupCnt: 967 -> 87 | Time: 122.064s
Pos: 68 | DupCnt: 1031 -> 90 | Time: 121.677s
Pos: 69 | DupCnt: 1059 -> 93 | Time: 121.810s
Pos: 71 | DupCnt: 915 -> 95 | Time: 123.509s
Pos: 77 | DupCnt: 893 -> 91 | Time: 105.146s
Pos: 76 | DupCnt: 1037 -> 91 | Time: 130.604s
Pos: 79 | DupCnt: 945 -> 98 | Time: 102.626s
Pos: 80 | DupCnt: 940 -> 91 | Time: 102.610s
Pos: 81 | DupCnt: 1044 -> 92 | Time: 102.589s
Pos: 82 | DupCnt: 907 -> 100 | Time: 103.197s
Pos: 78 | DupCnt: 962 -> 96 | Time: 124.391s
Pos: 83 | DupCnt: 1079 -> 89 | Time: 126.052s
Pos: 94 | DupCnt: 857 -> 89 | Time: 105.304s
Pos: 85 | DupCnt: 900 -> 96 | Time: 127.408s
Pos: 84 | DupCnt: 914 -> 91 | Time: 127.552s
Pos: 86 | DupCnt: 880 -> 85 | Time: 127.061s
Pos: 87 | DupCnt: 1086 -> 86 | Time: 126.873s
Pos: 88 | DupCnt: 1050 -> 91 | Time: 127.004s
Pos: 91 | DupCnt: 924 -> 95 | Time: 126.049s
Pos: 89 | DupCnt: 998 -> 97 | Time: 129.471s
Pos: 92 | DupCnt: 989 -> 93 | Time: 125.978s
Pos: 90 | DupCnt: 956 -> 87 | Time: 127.273s
Pos: 93 | DupCnt: 923 -> 87 | Time: 127.902s
Pos: 95 | DupCnt: 950 -> 90 | Time: 131.945s
Pos: 96 | DupCnt: 881 -> 91 | Time: 100.758s
Pos: 97 | DupCnt: 924 -> 96 | Time: 100.953s
Pos: 98 | DupCnt: 1030 -> 99 | Time: 101.098s
Pos: 99 | DupCnt: 887 -> 91 | Time: 102.087s
